# atom C1 T=2.0 eV, r_i=4.00, Zbar (TFDW) =1.476 , solve_err=2.590e-06
#  r/r_i 				 βuii_eff(r/r_i)
2.000000000000000042e-02 7.145948868371426215e+03
4.000000000000000083e-02 3.462355711728581355e+03
5.999999999999999778e-02 2.235994870821795757e+03
8.000000000000000167e-02 1.624092651153623137e+03
1.000000000000000056e-01 1.257753093622283586e+03
1.199999999999999956e-01 1.014243467510748928e+03
1.400000000000000133e-01 8.408155834419927714e+02
1.600000000000000033e-01 7.112177336276549795e+02
1.799999999999999933e-01 6.107771177573423529e+02
2.000000000000000111e-01 5.307696457242136603e+02
2.200000000000000011e-01 4.655804758307487532e+02
2.399999999999999911e-01 4.115261046905624767e+02
2.600000000000000089e-01 3.660049375666229139e+02
2.800000000000000266e-01 3.272094760397031905e+02
2.999999999999999889e-01 2.937665580409721429e+02
3.200000000000000067e-01 2.646960461240053633e+02
3.400000000000000244e-01 2.391963138799912372e+02
3.599999999999999867e-01 2.167050235833365548e+02
3.800000000000000044e-01 1.966965487873428344e+02
4.000000000000000222e-01 1.789746262529807268e+02
4.199999999999999845e-01 1.633441336857852377e+02
4.400000000000000022e-01 1.494445823122664194e+02
4.600000000000000200e-01 1.370372881322711294e+02
4.799999999999999822e-01 1.258988154219763373e+02
5.000000000000000000e-01 1.158651218510500627e+02
5.200000000000000178e-01 1.067867998764958770e+02
5.400000000000000355e-01 9.854960470162997410e+01
5.600000000000000533e-01 9.104963225378487834e+01
5.799999999999999600e-01 8.420533796414537164e+01
5.999999999999999778e-01 7.794216055437824764e+01
6.199999999999999956e-01 7.220042094857438997e+01
6.400000000000000133e-01 6.692514296320423739e+01
6.600000000000000311e-01 6.207161144264832586e+01
6.800000000000000488e-01 5.759830829999373947e+01
7.000000000000000666e-01 5.347100121547109808e+01
7.199999999999999734e-01 4.965766044513177491e+01
7.399999999999999911e-01 4.613156190129080869e+01
7.600000000000000089e-01 4.286752075167115805e+01
7.800000000000000266e-01 3.984430217506293559e+01
8.000000000000000444e-01 3.704176223833203352e+01
8.200000000000000622e-01 3.444275569000602388e+01
8.399999999999999689e-01 3.203092077825336048e+01
8.599999999999999867e-01 2.979221234010987729e+01
8.800000000000000044e-01 2.771315575263952979e+01
9.000000000000000222e-01 2.578209538392096789e+01
9.200000000000000400e-01 2.398779786835169148e+01
9.400000000000000577e-01 2.232048061729937061e+01
9.599999999999999645e-01 2.077068009340488786e+01
9.799999999999999822e-01 1.933010777344106046e+01
1.000000000000000000e+00 1.799072258099075938e+01
1.020000000000000018e+00 1.674544949164690166e+01
1.040000000000000036e+00 1.558741122415412761e+01
1.060000000000000053e+00 1.451053595212627378e+01
1.080000000000000071e+00 1.350891453011185384e+01
1.100000000000000089e+00 1.257731755473372992e+01
1.120000000000000107e+00 1.171065253193720856e+01
1.140000000000000124e+00 1.090440613665499825e+01
1.159999999999999920e+00 1.015418182700243221e+01
1.179999999999999938e+00 9.456080041031196259e+00
1.199999999999999956e+00 8.806301396647180368e+00
1.219999999999999973e+00 8.201475276227169431e+00
1.239999999999999991e+00 7.638317217063245401e+00
1.260000000000000009e+00 7.113914503164917136e+00
1.280000000000000027e+00 6.625428838553476751e+00
1.300000000000000044e+00 6.170345961021869385e+00
1.320000000000000062e+00 5.746216396238020607e+00
1.340000000000000080e+00 5.350874666644150679e+00
1.360000000000000098e+00 4.982212102547007859e+00
1.380000000000000115e+00 4.638370006498702125e+00
1.400000000000000133e+00 4.317539418058340850e+00
1.419999999999999929e+00 4.018131702918893211e+00
1.439999999999999947e+00 3.738601023929870149e+00
1.459999999999999964e+00 3.477595272872792798e+00
1.479999999999999982e+00 3.233797848205507641e+00
1.500000000000000000e+00 3.006061545266022428e+00
1.520000000000000018e+00 2.793267021318313947e+00
1.540000000000000036e+00 2.594442056108011929e+00
1.560000000000000053e+00 2.408634698943856733e+00
1.580000000000000071e+00 2.235020073319081924e+00
1.600000000000000089e+00 2.072786590036325816e+00
1.620000000000000107e+00 1.921232140284742984e+00
1.640000000000000124e+00 1.779661942940887975e+00
1.660000000000000142e+00 1.647475581618130569e+00
1.679999999999999938e+00 1.524075123755679995e+00
1.699999999999999956e+00 1.408944097908538140e+00
1.719999999999999973e+00 1.301564591833102247e+00
1.739999999999999991e+00 1.201489023275057022e+00
1.760000000000000009e+00 1.108265071148502701e+00
1.780000000000000027e+00 1.021500994295321263e+00
1.800000000000000044e+00 9.407974747955216710e-01
1.820000000000000062e+00 8.658072376665990610e-01
1.840000000000000080e+00 7.961731233668738472e-01
1.860000000000000098e+00 7.315827688116635086e-01
1.880000000000000115e+00 6.717123968554568059e-01
1.900000000000000133e+00 6.162772620769301213e-01
1.919999999999999929e+00 5.649807059317503155e-01
1.939999999999999947e+00 5.175609311324685935e-01
1.959999999999999964e+00 4.737448388462159321e-01
1.979999999999999982e+00 4.332915102253619977e-01
2.000000000000000000e+00 3.959502743128821001e-01
2.020000000000000018e+00 3.615011053684712428e-01
2.040000000000000036e+00 3.297163286739639432e-01
2.060000000000000053e+00 3.003980355901013644e-01
2.080000000000000071e+00 2.733428539535304735e-01
2.100000000000000089e+00 2.483764536630891362e-01
2.120000000000000107e+00 2.253208882582223016e-01
2.140000000000000124e+00 2.040262952748734260e-01
2.160000000000000142e+00 1.843404307031021316e-01
2.180000000000000160e+00 1.661377280875574458e-01
2.200000000000000178e+00 1.492907661199737723e-01
2.220000000000000195e+00 1.336969078484548934e-01
2.240000000000000213e+00 1.192515393843631283e-01
2.260000000000000231e+00 1.058725465757628381e-01
2.280000000000000249e+00 9.347522847641914767e-02
2.300000000000000266e+00 8.199487751630357701e-02
2.319999999999999840e+00 7.136330534830750971e-02
2.339999999999999858e+00 6.152977750804069362e-02
2.359999999999999876e+00 5.243909868045101841e-02
2.379999999999999893e+00 4.405112216478428849e-02
2.399999999999999911e+00 3.632033580497658065e-02
2.419999999999999929e+00 2.921412879386753314e-02
2.439999999999999947e+00 2.269380688018048098e-02
2.459999999999999964e+00 1.673176096505242516e-02
2.479999999999999982e+00 1.129382678032958554e-02
2.500000000000000000e+00 6.355465756679837958e-03
2.520000000000000018e+00 1.885373796065212965e-03
2.540000000000000036e+00 -2.139242784258834490e-03
2.560000000000000053e+00 -5.747910839174228542e-03
2.580000000000000071e+00 -8.962457365999532827e-03
2.600000000000000089e+00 -1.181120823541821283e-02
2.620000000000000107e+00 -1.431535045302200632e-02
2.640000000000000124e+00 -1.650218593185408256e-02
2.660000000000000142e+00 -1.839225041702122893e-02
2.680000000000000160e+00 -2.001171605716216273e-02
2.700000000000000178e+00 -2.138023320107344805e-02
2.720000000000000195e+00 -2.252256721026723099e-02
2.740000000000000213e+00 -2.345713127589462571e-02
2.760000000000000231e+00 -2.420693345774021024e-02
2.780000000000000249e+00 -2.478876879939988578e-02
2.800000000000000266e+00 -2.522354283252370780e-02
2.819999999999999840e+00 -2.552609046405260665e-02
2.839999999999999858e+00 -2.571493278035151542e-02
2.859999999999999876e+00 -2.580268907693085423e-02
2.879999999999999893e+00 -2.580531513912356217e-02
2.899999999999999911e+00 -2.573307377382610950e-02
2.919999999999999929e+00 -2.559929503547895766e-02
2.939999999999999947e+00 -2.541186991380735977e-02
2.959999999999999964e+00 -2.518156630456385228e-02
2.979999999999999982e+00 -2.491401023444202514e-02
3.000000000000000000e+00 -2.461758574040360734e-02
3.020000000000000018e+00 -2.429586822757258055e-02
3.040000000000000036e+00 -2.395513182022026427e-02
3.060000000000000053e+00 -2.359720018382666790e-02
3.080000000000000071e+00 -2.322658131505862464e-02
3.100000000000000089e+00 -2.284370244820510196e-02
3.120000000000000107e+00 -2.245168961461898802e-02
3.140000000000000124e+00 -2.204995505761127988e-02
3.160000000000000142e+00 -2.164063712210155532e-02
3.180000000000000160e+00 -2.122251087627896257e-02
3.200000000000000178e+00 -2.079710288931996276e-02
3.220000000000000195e+00 -2.036289839944415217e-02
3.240000000000000213e+00 -1.992114512840535007e-02
3.260000000000000231e+00 -1.947033320990295552e-02
3.280000000000000249e+00 -1.901170225358237223e-02
3.300000000000000266e+00 -1.854397326633251686e-02
3.320000000000000284e+00 -1.806857355990978964e-02
3.339999999999999858e+00 -1.758460293758584009e-02
3.359999999999999876e+00 -1.709379162929575494e-02
3.379999999999999893e+00 -1.659568599216929702e-02
3.399999999999999911e+00 -1.609235532769564755e-02
3.419999999999999929e+00 -1.558378514406718110e-02
3.439999999999999947e+00 -1.507234932785268475e-02
3.459999999999999964e+00 -1.455840149950265484e-02
3.479999999999999982e+00 -1.404452939676349710e-02
3.500000000000000000e+00 -1.353133688032161393e-02
3.520000000000000018e+00 -1.302149738696544920e-02
3.540000000000000036e+00 -1.251572054703205261e-02
3.560000000000000053e+00 -1.201662104275485858e-02
3.580000000000000071e+00 -1.152486450970250514e-02
3.600000000000000089e+00 -1.104286701029296401e-02
3.620000000000000107e+00 -1.057111490958342892e-02
3.640000000000000124e+00 -1.011170853136795882e-02
3.660000000000000142e+00 -9.664850120374716275e-03
3.680000000000000160e+00 -9.232243197815931390e-03
3.700000000000000178e+00 -8.813741780438862777e-03
3.720000000000000195e+00 -8.410614757888758980e-03
3.740000000000000213e+00 -8.022348466714474685e-03
3.760000000000000231e+00 -7.649783305942380214e-03
3.780000000000000249e+00 -7.292060822540417236e-03
3.800000000000000266e+00 -6.949637993798394968e-03
3.820000000000000284e+00 -6.621369369390455069e-03
3.839999999999999858e+00 -6.307403128954977393e-03
3.859999999999999876e+00 -6.006388645961722138e-03
3.879999999999999893e+00 -5.718257632440010112e-03
3.899999999999999911e+00 -5.441547773849890988e-03
3.919999999999999929e+00 -5.176071967712149099e-03
3.939999999999999947e+00 -4.920349346882824625e-03
3.959999999999999964e+00 -4.674165718114652902e-03
3.979999999999999982e+00 -4.436104255164856000e-03
4.000000000000000000e+00 -4.206000605383715049e-03
4.020000000000000462e+00 -3.982566629305394137e-03
4.040000000000000036e+00 -3.765744138984865839e-03
4.060000000000000497e+00 -3.554416185839287014e-03
4.080000000000000071e+00 -3.348663888960089121e-03
4.099999999999999645e+00 -3.147560805671583469e-03
4.120000000000000107e+00 -2.951337710805774540e-03
4.139999999999999680e+00 -2.759256446611591754e-03
4.160000000000000142e+00 -2.571687773669291410e-03
4.179999999999999716e+00 -2.388061767198394140e-03
4.200000000000000178e+00 -2.208863937709885580e-03
4.219999999999999751e+00 -2.033659690308799867e-03
4.240000000000000213e+00 -1.863013814816138992e-03
4.259999999999999787e+00 -1.696586783542967849e-03
4.280000000000000249e+00 -1.534982468882439008e-03
4.299999999999999822e+00 -1.377914148047991883e-03
4.320000000000000284e+00 -1.225984937442662183e-03
4.339999999999999858e+00 -1.078921344159409785e-03
4.360000000000000320e+00 -9.372904682593756302e-04
4.379999999999999893e+00 -8.007988320790983576e-04
4.400000000000000355e+00 -6.699499263953740194e-04
4.419999999999999929e+00 -5.444058959565224905e-04
4.440000000000000391e+00 -4.245885251141992968e-04
4.459999999999999964e+00 -3.101012089410576161e-04
4.480000000000000426e+00 -2.012760325238802518e-04
4.500000000000000000e+00 -9.765332352554986447e-05
4.520000000000000462e+00 5.229167019507134036e-07
4.540000000000000036e+00 9.377067028476628117e-05
4.560000000000000497e+00 1.819241819359346626e-04
4.580000000000000071e+00 2.655476448650821069e-04
4.600000000000000533e+00 3.445375042859526345e-04
4.620000000000000107e+00 4.194869616777058404e-04
4.639999999999999680e+00 4.903347844103986535e-04
4.660000000000000142e+00 5.576833253409135046e-04
4.679999999999999716e+00 6.214924189482316482e-04
4.700000000000000178e+00 6.823534653669280619e-04
4.719999999999999751e+00 7.402270328939778918e-04
4.740000000000000213e+00 7.956753639465670306e-04
4.759999999999999787e+00 8.486422841928140679e-04
4.780000000000000249e+00 8.996462691172364559e-04
4.799999999999999822e+00 9.486012149509987119e-04
4.820000000000000284e+00 9.959719622512207705e-04
4.839999999999999858e+00 1.041634414427549836e-03
4.860000000000000320e+00 1.085995181555413037e-03
4.879999999999999893e+00 1.128889464180344226e-03
4.900000000000000355e+00 1.170666256468941248e-03
4.919999999999999929e+00 1.211122352629569882e-03
4.940000000000000391e+00 1.250554351825159142e-03
4.959999999999999964e+00 1.288727116167487667e-03
4.980000000000000426e+00 1.325893663957773390e-03
5.000000000000000000e+00 1.361796404326179061e-03
5.020000000000000462e+00 1.396655892054076992e-03
5.040000000000000036e+00 1.430203201478063299e-03
5.060000000000000497e+00 1.462638444349282025e-03
5.080000000000000071e+00 1.493692722573053498e-03
5.100000000000000533e+00 1.523557287817295857e-03
5.120000000000000107e+00 1.551973615660456104e-03
5.139999999999999680e+00 1.579134089017748517e-03
5.160000000000000142e+00 1.604798869718727537e-03
5.179999999999999716e+00 1.629169023051103751e-03
5.200000000000000178e+00 1.652029002540035844e-03
5.219999999999999751e+00 1.673593178473404804e-03
5.240000000000000213e+00 1.693672898865834211e-03
5.259999999999999787e+00 1.712497429887942626e-03
5.280000000000000249e+00 1.729904688499907684e-03
5.299999999999999822e+00 1.746137638171806452e-03
5.320000000000000284e+00 1.761057900668960971e-03
5.339999999999999858e+00 1.774918666692816300e-03
5.360000000000000320e+00 1.787600486499675914e-03
5.379999999999999893e+00 1.799361748038918324e-03
5.400000000000000355e+00 1.810096004178859486e-03
5.419999999999999929e+00 1.820061042973807443e-03
5.440000000000000391e+00 1.829157141161195672e-03
5.459999999999999964e+00 1.837635697166376718e-03
5.480000000000000426e+00 1.845397808148094374e-03
5.500000000000000000e+00 1.852683368971220698e-03
5.520000000000000462e+00 1.859389367453168291e-03
5.540000000000000036e+00 1.865740269629495010e-03
5.560000000000000497e+00 1.871625402989098496e-03
5.580000000000000071e+00 1.877251369683440897e-03
5.600000000000000533e+00 1.882497868899022731e-03
5.620000000000000107e+00 1.887552797630882807e-03
5.639999999999999680e+00 1.892285844095381976e-03
5.660000000000000142e+00 1.896866864184304502e-03
5.679999999999999716e+00 1.901156567947964032e-03
5.700000000000000178e+00 1.905308700564942084e-03
5.719999999999999751e+00 1.909177139445848714e-03
5.740000000000000213e+00 1.912902365461568738e-03
5.759999999999999787e+00 1.916334304368577657e-03
5.780000000000000249e+00 1.919603539715588822e-03
5.799999999999999822e+00 1.922559251643611664e-03
