# atom Cu1 T=1.0 eV, r_i=1.21, Zbar (TFDW) =2.667 , solve_err=1.092e-08
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.000000000000000021e-02 0.000000000000000000e+00 6.771651333814809881e-02 1.124145596768534316e-01
2.000000000000000042e-02 0.000000000000000000e+00 6.773999357059612425e-02 1.159967687099371370e-01
2.999999999999999889e-02 0.000000000000000000e+00 6.777914306003884892e-02 1.198563568154875636e-01
4.000000000000000083e-02 0.000000000000000000e+00 6.783398550389008186e-02 1.237799486600206222e-01
5.000000000000000278e-02 0.000000000000000000e+00 6.790455409098805628e-02 1.278425220431973486e-01
5.999999999999999778e-02 0.000000000000000000e+00 6.799089159216575862e-02 1.319976501036919103e-01
7.000000000000000666e-02 0.000000000000000000e+00 6.809305036238133546e-02 1.362795090604586035e-01
8.000000000000000167e-02 0.000000000000000000e+00 6.821109245950607303e-02 1.406673393267242611e-01
8.999999999999999667e-02 0.000000000000000000e+00 6.834508966405417052e-02 1.451823297382326405e-01
1.000000000000000056e-01 0.000000000000000000e+00 6.849512362947096644e-02 1.498127917943857801e-01
1.100000000000000006e-01 0.000000000000000000e+00 6.866128591500619827e-02 1.545740761121807694e-01
1.199999999999999956e-01 0.000000000000000000e+00 6.884367817295278247e-02 1.594587564699495585e-01
1.300000000000000044e-01 0.000000000000000000e+00 6.904241218637874322e-02 1.644790134165738937e-01
1.400000000000000133e-01 0.000000000000000000e+00 6.925761010402509132e-02 1.696297172033258693e-01
1.499999999999999944e-01 0.000000000000000000e+00 6.948940446491025380e-02 1.749210980114783709e-01
1.600000000000000033e-01 0.000000000000000000e+00 6.973793850709775199e-02 1.803493388751045146e-01
1.700000000000000122e-01 0.000000000000000000e+00 7.000336612997548613e-02 1.859233526929028324e-01
1.799999999999999933e-01 0.000000000000000000e+00 7.028585236645279455e-02 1.916400660599089090e-01
1.900000000000000022e-01 0.000000000000000000e+00 7.058557307157886651e-02 1.975074333440522967e-01
2.000000000000000111e-01 0.000000000000000000e+00 5.399612876183738308e+00 2.035227535136023835e-01
2.099999999999999922e-01 0.000000000000000000e+00 5.086304026978574200e+00 2.096932407629809036e-01
2.200000000000000011e-01 0.000000000000000000e+00 4.798743509497096049e+00 2.160162968512677750e-01
2.300000000000000100e-01 0.000000000000000000e+00 4.534438971178127886e+00 2.224985398122654168e-01
2.399999999999999911e-01 0.000000000000000000e+00 4.291171675161757904e+00 2.291372570572490774e-01
2.500000000000000000e-01 0.000000000000000000e+00 4.066963520240088670e+00 2.359385779940722516e-01
2.600000000000000089e-01 1.110223024625156540e-16 3.860048341576104214e+00 2.428994813809050024e-01
2.700000000000000178e-01 7.771561172376095783e-16 3.668846866457298184e+00 2.500257059725369269e-01
2.800000000000000266e-01 4.996003610813204432e-15 3.491944868714623063e+00 2.573137269371486013e-01
2.899999999999999800e-01 2.908784324517910136e-14 3.328074074824409312e+00 2.647690071834911674e-01
2.999999999999999889e-01 1.504352198367087112e-13 3.176095467543846418e+00 2.723872949272938548e-01
