# atom H1 T=2.0 eV, r_i=1.00, Zbar (TFDW) =1.391 , solve_err=3.344e-09
#  r/r_i 				 βuii_eff(r/r_i)
2.000000000000000042e-02 4.788876975235301643e+02
4.000000000000000083e-02 2.344559984027149824e+02
5.999999999999999778e-02 1.529876755756611431e+02
8.000000000000000167e-02 1.122633468105434673e+02
1.000000000000000056e-01 8.783898608545700881e+01
1.199999999999999956e-01 7.156644540057631332e+01
1.400000000000000133e-01 5.995353624217865729e+01
1.600000000000000033e-01 5.125405418192071494e+01
1.799999999999999933e-01 4.449778968926511169e+01
2.000000000000000111e-01 3.910253401243060267e+01
2.200000000000000011e-01 3.469771911316689739e+01
2.399999999999999911e-01 3.103623810229362334e+01
2.600000000000000089e-01 2.794696413780232191e+01
2.800000000000000266e-01 2.530761839862962148e+01
2.999999999999999889e-01 2.302849080094607714e+01
3.200000000000000067e-01 2.104226531860574312e+01
3.400000000000000244e-01 1.929743621063597914e+01
3.599999999999999867e-01 1.775391867079507335e+01
3.800000000000000044e-01 1.638004541912310685e+01
4.000000000000000222e-01 1.515046415352016673e+01
4.199999999999999845e-01 1.404463557777076232e+01
4.400000000000000022e-01 1.304574091892128251e+01
4.600000000000000200e-01 1.213987431427276320e+01
4.799999999999999822e-01 1.131543698888106952e+01
5.000000000000000000e-01 1.056267673059113754e+01
5.200000000000000178e-01 9.873333552008006109e+00
5.400000000000000355e-01 9.240364017262850282e+00
5.600000000000000533e-01 8.657724574500262449e+00
5.799999999999999600e-01 8.120199658034927381e+00
5.999999999999999778e-01 7.623264119909592296e+00
6.199999999999999956e-01 7.162972244567929359e+00
6.400000000000000133e-01 6.735867536439198666e+00
6.600000000000000311e-01 6.338908878464878605e+00
6.800000000000000488e-01 5.969409694915936981e+00
7.000000000000000666e-01 5.624987521088220532e+00
7.199999999999999734e-01 5.303521959287468945e+00
7.399999999999999911e-01 5.003119437150521875e+00
7.600000000000000089e-01 4.722083517492861482e+00
7.800000000000000266e-01 4.458889765234496316e+00
8.000000000000000444e-01 4.212164375576981534e+00
8.200000000000000622e-01 3.980665922706198234e+00
8.399999999999999689e-01 3.763269710113809730e+00
8.599999999999999867e-01 3.558954300019415484e+00
8.800000000000000044e-01 3.366789876011222038e+00
9.000000000000000222e-01 3.185928154389077172e+00
9.200000000000000400e-01 3.015593609023854427e+00
9.400000000000000577e-01 2.855075814480670271e+00
9.599999999999999645e-01 2.703722744576423587e+00
9.799999999999999822e-01 2.560934890052899870e+00
1.000000000000000000e+00 2.426160080768100968e+00
1.020000000000000018e+00 2.298888915733443561e+00
1.040000000000000036e+00 2.178650719134010760e+00
1.060000000000000053e+00 2.065009952795633374e+00
1.080000000000000071e+00 1.957563025823553238e+00
1.100000000000000089e+00 1.855935450747171478e+00
1.120000000000000107e+00 1.759779302721557581e+00
1.140000000000000124e+00 1.668770944436517967e+00
1.159999999999999920e+00 1.582608984528476537e+00
1.179999999999999938e+00 1.501012441669300923e+00
1.199999999999999956e+00 1.423719090219698780e+00
1.219999999999999973e+00 1.350483966515608536e+00
1.239999999999999991e+00 1.281078017566320559e+00
1.260000000000000009e+00 1.215286876278812267e+00
1.280000000000000027e+00 1.152909749320685240e+00
1.300000000000000044e+00 1.093758405465646621e+00
1.320000000000000062e+00 1.037656253751453539e+00
1.340000000000000080e+00 9.844375020749572824e-01
1.360000000000000098e+00 9.339463879628386866e-01
1.380000000000000115e+00 8.860364742321463760e-01
1.400000000000000133e+00 8.405700030960069347e-01
1.419999999999999929e+00 7.974173030097915227e-01
1.439999999999999947e+00 7.564562431927545072e-01
1.459999999999999964e+00 7.175717313251739338e-01
1.479999999999999982e+00 6.806552504103748902e-01
1.500000000000000000e+00 6.456044312253339523e-01
1.520000000000000018e+00 6.123226571603928026e-01
1.540000000000000036e+00 5.807186985844386973e-01
1.560000000000000053e+00 5.507063741638991150e-01
1.580000000000000071e+00 5.222042368256700762e-01
1.600000000000000089e+00 4.951352822815113242e-01
1.620000000000000107e+00 4.694266782370493662e-01
1.640000000000000124e+00 4.450095125870102697e-01
1.660000000000000142e+00 4.218185590608024560e-01
1.679999999999999938e+00 3.997920589238226907e-01
1.699999999999999956e+00 3.788715174693058074e-01
1.719999999999999973e+00 3.590015141480968897e-01
1.739999999999999991e+00 3.401295252876926356e-01
1.760000000000000009e+00 3.222057584423072552e-01
1.780000000000000027e+00 3.051829974999595296e-01
1.800000000000000044e+00 2.890164577456034722e-01
1.820000000000000062e+00 2.736636501481656270e-01
1.840000000000000080e+00 2.590842541989212267e-01
1.860000000000000098e+00 2.452399986850751501e-01
1.880000000000000115e+00 2.320945498314701816e-01
1.900000000000000133e+00 2.196134062898916217e-01
1.919999999999999929e+00 2.077638004960671303e-01
1.939999999999999947e+00 1.965146059531416300e-01
1.959999999999999964e+00 1.858362500341554646e-01
1.979999999999999982e+00 1.757006319283450357e-01
2.000000000000000000e+00 1.660810453843143408e-01
2.020000000000000018e+00 1.569521059302472488e-01
2.040000000000000036e+00 1.482896822748403787e-01
2.060000000000000053e+00 1.400708316156606958e-01
2.080000000000000071e+00 1.322737386011875460e-01
2.100000000000000089e+00 1.248776577123852094e-01
2.120000000000000107e+00 1.178628588460472609e-01
