# atom Be1 T=4.4 eV, r_i=1.72, Zbar (TFDW) =2.357 , solve_err=2.706e-09
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
2.000000000000000042e-02 0.000000000000000000e+00 7.179051306502870489e-02 1.864685952013206416e-01
4.000000000000000083e-02 0.000000000000000000e+00 7.190164418663358425e-02 1.953779928734358240e-01
5.999999999999999778e-02 0.000000000000000000e+00 7.208717927045804608e-02 2.056443288069824682e-01
8.000000000000000167e-02 0.000000000000000000e+00 7.234759805106094621e-02 2.163121798192595424e-01
1.000000000000000056e-01 0.000000000000000000e+00 7.268357716717033234e-02 2.277533190460355739e-01
1.199999999999999956e-01 0.000000000000000000e+00 7.309599987797077425e-02 2.397580687378357833e-01
1.400000000000000133e-01 0.000000000000000000e+00 7.358596068629741360e-02 2.525081805459519213e-01
1.600000000000000033e-01 0.000000000000000000e+00 7.415477818840332525e-02 2.659052355054729588e-01
1.799999999999999933e-01 1.088018564132653410e-14 7.480400027222167125e-02 2.800651625368932862e-01
2.000000000000000111e-01 7.568390358869692136e-13 7.553541867633095652e-02 2.949230259108700514e-01
2.200000000000000011e-01 2.406086441197885506e-11 7.635107077581393398e-02 3.105595375724237162e-01
2.399999999999999911e-01 4.239619766366331532e-10 7.725325532103721748e-02 3.269185439302024765e-01
2.600000000000000089e-01 4.748518578345795049e-09 7.824452218815614035e-02 3.440558964176406720e-01
2.800000000000000266e-01 3.723340114003548251e-08 4.445915789990865896e+00 3.619126283275972966e-01
2.999999999999999889e-01 2.196317042679751808e-07 3.980530263872215535e+00 3.805240167549949204e-01
3.200000000000000067e-01 1.027569592304544699e-06 3.587618501648993874e+00 3.998216449573773756e-01
3.400000000000000244e-01 3.974373442239276244e-06 3.253992293167570882e+00 4.198228436244001438e-01
3.599999999999999867e-01 1.311143000093384359e-05 2.969176674738350563e+00 4.404456889304626532e-01
3.800000000000000044e-01 3.784990190336401383e-05 2.724798046129426332e+00 4.616925134224760807e-01
4.000000000000000222e-01 9.750371214267694597e-05 2.514120666137407145e+00 4.834653781328425159e-01
4.199999999999999845e-01 2.279199536212583865e-04 2.331692918693351935e+00 5.057562210655767165e-01
4.400000000000000022e-01 4.896772684686023780e-04 2.173076266533546796e+00 5.284489992302390249e-01
4.600000000000000200e-01 9.781294428042874856e-04 2.034636100067123810e+00 5.515332752819058770e-01
4.799999999999999822e-01 1.832208352610442681e-03 1.913379577127410913e+00 5.748702772610682077e-01
5.000000000000000000e-01 3.245391282240661646e-03 1.806829045727594396e+00 5.984641438823741222e-01
5.200000000000000178e-01 5.467001594496312400e-03 1.712922759718501053e+00 6.221323101749756113e-01
5.400000000000000355e-01 8.817950567026389130e-03 1.629936503015353644e+00 6.459630014779652596e-01
5.600000000000000533e-01 1.362122381618269262e-02 1.556421423995614672e+00 6.692250388192537702e-01
5.799999999999999600e-01 2.016549481350760065e-02 1.491154431939133218e+00 6.912730451811673893e-01
5.999999999999999778e-01 2.877749081552594124e-02 1.433098434322616965e+00 7.122746223801362797e-01
6.199999999999999956e-01 3.972853290100752943e-02 1.381370287466643365e+00 7.321697866977894265e-01
6.400000000000000133e-01 5.326594812813245650e-02 1.335214847220887124e+00 7.510321354591816823e-01
6.600000000000000311e-01 6.955434513726088674e-02 1.293983855106998204e+00 7.688410417481966741e-01
6.800000000000000488e-01 8.870979289666147682e-02 1.257118678596123695e+00 7.856468233595290673e-01
7.000000000000000666e-01 1.107507799738129961e-01 1.224136141020321089e+00 8.014457396155170166e-01
7.199999999999999734e-01 1.356421788006313411e-01 1.194616826481003535e+00 8.162805894197938672e-01
7.399999999999999911e-01 1.632533676023749658e-01 1.168195392293569501e+00 8.301594004875259003e-01
7.600000000000000089e-01 1.934109099768593909e-01 1.144552490430499780e+00 8.431237640535204081e-01
7.800000000000000266e-01 2.258611604668325779e-01 1.123408014266271682e+00 8.551913117097031947e-01
8.000000000000000444e-01 2.603280217340634417e-01 1.104515398197912335e+00 8.664049767400984203e-01
8.200000000000000622e-01 2.964773933188442623e-01 1.087656816238690816e+00 8.767901725097805299e-01
8.399999999999999689e-01 3.339760419857171758e-01 1.072639016880961638e+00 8.863916973627534723e-01
8.599999999999999867e-01 3.724559648490175512e-01 1.059289553821509244e+00 8.952407580729941916e-01
8.800000000000000044e-01 4.115711854412212878e-01 1.047453963836528557e+00 9.033834052709855955e-01
9.000000000000000222e-01 4.509610835918433924e-01 1.036993410278714167e+00 9.108545308529454321e-01
9.200000000000000400e-01 4.903030693026217968e-01 1.027782624780491316e+00 9.177002735036664527e-01
9.400000000000000577e-01 5.292748162512866950e-01 1.019708148191563302e+00 9.239571633660635941e-01
9.599999999999999645e-01 5.676018316867352809e-01 1.012666812177814846e+00 9.296701127959519084e-01
9.799999999999999822e-01 6.050191348588515039e-01 1.006564452540700039e+00 9.348754764237928727e-01
1.000000000000000000e+00 6.413135401442964234e-01 1.001314808891670571e+00 9.396157355169773018e-01
1.020000000000000018e+00 6.762856155940750735e-01 9.968386027423113971e-01 9.439256021224695647e-01
1.040000000000000036e+00 7.097869931397239318e-01 9.930627559719861219e-01 9.478441770171761593e-01
1.060000000000000053e+00 7.416834824961082706e-01 9.899197433545013913e-01 9.514034574537686417e-01
1.080000000000000071e+00 7.718879641106151102e-01 9.873470470668689325e-01 9.546385282727616328e-01
1.100000000000000089e+00 8.003254079621289208e-01 9.852867083996528219e-01 9.575779882929931208e-01
1.120000000000000107e+00 8.269619683434688007e-01 9.836849501565642084e-01 9.602525828818934128e-01
1.140000000000000124e+00 8.517724506279029661e-01 9.824918663924203655e-01 9.626871740374514097e-01
1.159999999999999920e+00 8.747661872542291661e-01 9.816611582834420258e-01 9.649081178075489262e-01
1.179999999999999938e+00 8.959572719253892092e-01 9.811499140695399968e-01 9.669364838115895866e-01
1.199999999999999956e+00 9.153877058098913722e-01 9.809184167962101686e-01 9.687944057779003248e-01
1.219999999999999973e+00 9.331005165532371137e-01 9.809299788849465962e-01 9.704993168024422800e-01
1.239999999999999991e+00 9.491605658921815625e-01 9.811507916643913418e-01 9.720694485195284784e-01
