# atom H1 T=2.0 eV, r_i=1.00, Zbar (TFDW) =1.391 , solve_err=3.344e-09
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
2.000000000000000042e-02 0.000000000000000000e+00 4.305506123344751579e+00 1.805661271897039954e-01
4.000000000000000083e-02 0.000000000000000000e+00 3.967818922484456667e+00 1.884893446544589901e-01
5.999999999999999778e-02 0.000000000000000000e+00 3.669976073561681762e+00 1.966688711073147910e-01
8.000000000000000167e-02 0.000000000000000000e+00 3.406398754211347857e+00 2.051156295720525380e-01
1.000000000000000056e-01 0.000000000000000000e+00 3.172403785144850996e+00 2.138407600410324738e-01
1.199999999999999956e-01 0.000000000000000000e+00 2.964043895101176940e+00 2.228553386880793852e-01
1.400000000000000133e-01 0.000000000000000000e+00 2.777979054347825993e+00 2.321701057356601039e-01
1.600000000000000033e-01 0.000000000000000000e+00 2.611372371941481418e+00 2.417952041942947883e-01
1.799999999999999933e-01 0.000000000000000000e+00 2.461805504355163432e+00 2.517399281660163135e-01
2.000000000000000111e-01 1.110223024625156540e-16 2.327209631256976774e+00 2.620124813236401895e-01
2.200000000000000011e-01 1.221245327087672194e-14 2.205808905565124878e+00 2.726197458644403770e-01
2.399999999999999911e-01 4.694022948115161853e-13 2.096073941380975469e+00 2.835670631367701588e-01
2.600000000000000089e-01 1.017197437391814674e-11 1.996683412280958692e+00 2.948580273121368389e-01
2.800000000000000266e-01 1.404253380243858373e-10 1.906492228506406539e+00 3.064942940784636249e-01
2.999999999999999889e-01 1.350864309301869071e-09 1.824505071291902647e+00 3.184754065712951387e-01
3.200000000000000067e-01 9.685943047621492497e-09 1.749854305707395863e+00 3.307986411513981206e-01
3.400000000000000244e-01 5.450163109710359777e-08 1.681781485095584117e+00 3.434588757769441170e-01
3.599999999999999867e-01 2.505116704076826295e-07 1.619621811917582477e+00 3.564484838746396766e-01
3.800000000000000044e-01 9.708568515787163733e-07 1.562791040400189235e+00 3.697572565550892865e-01
4.000000000000000222e-01 3.253918776424669090e-06 1.510774402549859508e+00 3.833723559038202389e-01
4.199999999999999845e-01 9.627375323395526152e-06 1.463117216096494699e+00 3.972783017701450037e-01
4.400000000000000022e-01 2.557223068500036334e-05 1.419416894791508232e+00 4.114569940817665028e-01
4.600000000000000200e-01 6.183492837641413331e-05 1.379316131370631471e+00 4.258877721500480273e-01
4.799999999999999822e-01 1.377041466712469742e-04 1.342497063862470030e+00 4.405475117868857815e-01
5.000000000000000000e-01 2.852002178443946434e-04 1.308676268721450819e+00 4.554107602847202729e-01
5.200000000000000178e-01 5.539065223819639172e-04 1.277600451011663640e+00 4.704499084943754017e-01
5.400000000000000355e-01 1.015951865620423611e-03 1.249042723775388275e+00 4.856353983539722918e-01
5.600000000000000533e-01 1.770485291151202567e-03 1.222799386737793093e+00 5.009359633485438446e-01
5.799999999999999600e-01 2.946914578964010545e-03 1.198687129382244532e+00 5.163188985138713605e-01
5.999999999999999778e-01 4.706229279975771007e-03 1.176540595770913411e+00 5.317503558049487822e-01
6.199999999999999956e-01 7.239894374401090182e-03 1.156210258751420916e+00 5.471956599358356321e-01
6.400000000000000133e-01 1.076605377461636870e-02 1.137560559748717726e+00 5.626196392177781336e-01
6.600000000000000311e-01 1.552308104126676191e-02 1.120468277483426256e+00 5.779869654804871137e-01
6.800000000000000488e-01 2.176081030474641409e-02 1.104821094913446045e+00 5.932624968958032374e-01
7.000000000000000666e-01 2.973003088899328628e-02 1.090516338651603023e+00 6.084116174285750800e-01
7.199999999999999734e-01 3.967100367176301656e-02 1.077459869220497524e+00 6.234005667360860148e-01
7.399999999999999911e-01 5.180183990693332241e-02 1.065565103895073751e+00 6.381967546070350661e-01
7.600000000000000089e-01 6.630757310521961934e-02 1.054752156662882578e+00 6.527690544750132107e-01
7.800000000000000266e-01 8.333066299494917839e-02 1.044947082097482882e+00 6.670880711295757992e-01
8.000000000000000444e-01 1.029635173841065843e-01 1.036081211775558453e+00 6.811263784665172460e-01
8.200000000000000622e-01 1.252434268686264396e-01 1.028090573348016123e+00 6.948587239293246842e-01
8.399999999999999689e-01 1.501501029945774279e-01 1.020915383564976020e+00 7.082621971730481691e-01
8.599999999999999867e-01 1.776058141228298304e-01 1.014499607511912371e+00 7.213163613890857251e-01
8.800000000000000044e-01 2.074779416263138332e-01 1.008790577088906071e+00 7.340033466394719763e-01
9.000000000000000222e-01 2.395836433343809801e-01 1.003738662399322301e+00 7.463079054249559530e-01
9.200000000000000400e-01 2.736962169296777159e-01 9.992969902433642693e-01 7.582174315314684776e-01
9.400000000000000577e-01 3.095527039401368974e-01 9.954212043644969921e-01 7.697219439357150250e-01
9.599999999999999645e-01 3.468622618125454249e-01 9.920692624952232030e-01 7.808140381900510185e-01
9.799999999999999822e-01 3.853148513256802188e-01 9.892012656104650636e-01 7.914888082317718121e-01
1.000000000000000000e+00 4.245898318190368670e-01 9.867793151345503055e-01 8.017437419699587897e-01
1.020000000000000018e+00 4.643641193683216706e-01 9.847673941703316558e-01 8.115785942876226899e-01
1.040000000000000036e+00 5.043196354793071379e-01 9.831312691320023278e-01 8.209952412647862907e-01
1.060000000000000053e+00 5.441498493186001095e-01 9.818384084699370851e-01 8.299975194822684088e-01
1.080000000000000071e+00 5.835652894639922206e-01 9.808579154775629583e-01 8.385910542198339312e-01
1.100000000000000089e+00 6.222979675138766709e-01 9.801604724668877555e-01 8.467830802252420686e-01
1.120000000000000107e+00 6.601047129420374304e-01 9.797182938896831228e-01 8.545822585197638821e-01
1.140000000000000124e+00 6.967694648377397160e-01 9.795050862638799982e-01 8.619984924330607035e-01
1.159999999999999920e+00 7.321046012407368409e-01 9.794960130374315010e-01 8.690427457436937786e-01
1.179999999999999938e+00 7.659514110624866534e-01 9.796676627827902717e-01 8.757268654530885321e-01
1.199999999999999956e+00 7.981798280967298265e-01 9.799980193621734559e-01 8.820634113564422840e-01
1.219999999999999973e+00 8.286875527163183319e-01 9.804664329353379726e-01 8.880654942039318822e-01
1.239999999999999991e+00 8.573986860955914446e-01 9.810535908961346419e-01 8.937466238823228437e-01
1.260000000000000009e+00 8.842619957523082386e-01 9.817414880206686290e-01 8.991205686976347922e-01
1.280000000000000027e+00 9.092489213883481192e-01 9.825133952876901056e-01 9.042012265128018811e-01
1.300000000000000044e+00 9.323514177530037861e-01 9.833538269906216822e-01 9.090025081938368778e-01
1.320000000000000062e+00 9.535797177216012166e-01 9.842485059003691639e-01 9.135382335491909478e-01
1.340000000000000080e+00 9.729600848909436550e-01 9.851843263591710809e-01 9.178220397103747930e-01
1.360000000000000098e+00 9.905326114758568057e-01 9.861493152888187730e-01 9.218673016998228942e-01
1.380000000000000115e+00 1.006349104650610560e+00 9.871325911825575838e-01 9.256870647627654103e-01
1.400000000000000133e+00 1.020471093073650026e+00 9.881243212199087855e-01 9.292939879037017681e-01
1.419999999999999929e+00 1.032967975344754263e+00 9.891156766987611038e-01 9.327002979618266298e-01
